ticker,company_name,fiscal_year,revenue_billions,cost_of_revenue_billions,gross_profit_billions,operating_income_billions,net_income_billions,interest_expense_millions,eps_basic_usd,eps_diluted_usd,total_assets_billions,current_assets_billions,total_liabilities_billions,current_liabilities_billions,stockholders_equity_billions,cash_and_equivalents_billions,short_term_investments_billions,accounts_receivable_billions,long_term_debt_billions,inventory_billions,roe,roa,gross_margin,net_margin,operating_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,equity_turnover
AAPL,Apple Inc.,2025,383.285,214.137,169.148,114.301,96.995,0.0,6.16,6.13,364.98,152.987,308.03,176.392,50.672,29.943,35.228,33.41,85.75,7.286,1.914174,0.265754,0.441311,0.253062,0.298214,0.867313,0.826007,6.0789,0.843964,NA,1.050153,7.564039
ABNB,"Airbnb, Inc.",2025,9.917,1.703,8.214,1.518,4.792,55.0,637000000.0,662000000.0,20.959,17.18,12.547,10.161,5.56,6.864,3.747,0.175,1.995,0.0,0.861871,0.228637,0.828275,0.483211,0.15307,1.690778,1.690778,2.256655,0.598645,27.6,0.473162,1.783633
ADBE,ADOBE INC.,2025,19.409,2.354,17.055,6.65,5.428,113.0,11.87,11.82,30.23,11.232,16.125,10.521,14.051,7.613,0.273,2.072,4.129,0.0,0.386307,0.179557,0.878716,0.279664,0.342625,1.067579,1.067579,1.147605,0.533411,58.849558,0.642044,1.381325
AMD,"ADVANCED MICRO DEVICES, INC.",2025,22.68,12.22,10.46,0.401,0.854,106.0,0.53,0.53,69.226,19.049,69.226,7.281,55.892,3.933,1.345,6.192,1.721,5.734,0.015279,0.012336,0.461199,0.037654,0.017681,2.616262,1.828732,1.238567,1.0,3.783019,0.327623,0.405783
AMZN,AMAZON COM INC,2025,574.785,304.739,270.046,36.852,30.425,3182.0,2.95,2.9,527.854,190.867,624.894,179.431,146.043,78.779,22.423,55.451,52.623,34.214,0.208329,0.057639,0.469821,0.052933,0.064114,1.063735,0.873054,4.278836,1.183839,11.581395,1.088909,3.935724
CRM,"Salesforce, Inc.",2025,31.352,8.36,22.992,1.03,0.208,300.0,0.21,0.21,99.823,29.074,40.177,26.631,58.131,8.472,5.722,11.414,8.427,0.0,0.003578,0.002084,0.73335,0.006634,0.032853,1.091735,1.091735,0.691146,0.402482,3.433333,0.314076,0.539334
CSCO,"CISCO SYSTEMS, INC.",2025,56.998,21.245,35.753,15.031,12.613,427.0,3.08,3.07,124.413,36.862,78.956,40.584,39.773,7.508,10.346,6.685,19.621,3.373,0.317125,0.10138,0.627268,0.221288,0.263711,0.908289,0.825177,1.985166,0.634628,35.201405,0.458135,1.433083
GOOGL,ALPHABET INC.,2025,307.394,133.332,174.062,84.293,73.795,308.0,5.84,5.8,450.256,163.711,125.172,89.122,256.144,23.466,72.191,52.34,10.883,0.0,0.2881,0.163896,0.56625,0.240066,0.274218,1.836931,1.836931,0.488678,0.278002,273.678571,0.682709,1.200083
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2025,61.86,27.56,34.3,NA,7.502,1607.0,8.23,8.14,137.175,34.482,109.783,33.142,27.307,13.947,0.009,6.804,49.884,1.289,0.274728,0.054689,0.554478,0.121274,NA,1.040432,1.001539,4.020324,0.800313,NA,0.450957,2.265353
INTC,INTEL CORPORATION,2025,54.228,32.517,21.711,0.093,1.689,878.0,0.4,0.4,196.485,47.324,196.485,35.666,99.27,8.249,0.848,3.478,46.282,12.198,0.017014,0.008596,0.400365,0.031146,0.001715,1.326866,0.98486,1.979299,1.0,0.105923,0.275991,0.546268
INTU,INTUIT INC.,2025,14.368,0.163,14.205,3.141,2.384,248.0,8.49,8.42,32.132,9.678,13.696,7.491,16.441,2.848,0.465,0.457,5.539,0.0,0.145003,0.074194,0.988655,0.165924,0.218611,1.29195,1.29195,0.833039,0.426242,12.665323,0.447155,0.873913
META,"Meta Platforms, Inc.",2025,134.902,25.959,108.943,46.751,39.098,420.0,15.19,14.87,276.054,100.045,93.417,33.596,125.713,41.862,33.926,16.994,28.826,0.0,0.31101,0.141632,0.807571,0.289825,0.346555,2.977884,2.977884,0.743097,0.338401,111.311905,0.48868,1.073095
MSFT,MICROSOFT CORPORATION,2025,211.915,65.863,146.052,88.523,72.361,1968.0,9.72,9.68,512.163,159.734,243.686,125.286,206.223,18.315,57.228,56.924,42.688,1.246,0.350887,0.141285,0.689201,0.341462,0.417729,1.274955,1.26501,1.181663,0.475798,44.981199,0.413765,1.027601
NFLX,NETFLIX INC,2025,33.723297,19.715368,14.007929,6.954003,5.40799,699.826,1.22,1.2,53.630374,13.100379,28.886807,10.7554,20.777401,7.804733,1.779006,1.749412,13.798351,0.0,0.260282,0.100838,0.415378,0.160364,0.206208,1.218028,1.218028,1.390299,0.538628,9.93676,0.62881,1.623076
NOW,"SERVICENOW, INC.",2025,8.971,1.921,7.05,0.762,1.731,23.0,1.7,1.68,20.383,9.187,10.774,8.358,5.032,1.897,3.458,2.24,1.489,0.0,0.343998,0.084924,0.785866,0.192955,0.08494,1.099186,1.099186,2.141097,0.528578,33.130435,0.440122,1.78279
NVDA,NVIDIA CORP,2025,26.974,11.618,15.356,4.224,4.368,262.0,0.18,0.17,65.728,44.345,22.75,10.631,26.612,7.28,18.704,9.999,8.459,5.282,0.164136,0.066456,0.569289,0.161934,0.156595,4.171292,3.674443,0.854877,0.346123,16.122137,0.410388,1.013603
ORCL,Oracle Corporation,2025,49.954,36.861,13.093,13.093,8.503,3505.0,3.15,3.07,140.976,22.554,100.193,31.544,8.704,10.454,0.207,7.874,86.869,0.334,0.976907,0.060315,0.262101,0.170217,0.262101,0.715001,0.704413,11.511144,0.71071,3.735521,0.354344,5.7392
PANW,Palo Alto Networks Inc,2025,6.8927,1.9097,4.983,0.3873,0.4397,25.8,0.73,0.64,19.9909,6.8497,14.8212,7.6827,0.21,1.1353,1.0436,2.6186,0.9639,0.1159,2.09381,0.021995,0.722939,0.063792,0.05619,0.891575,0.876489,70.577143,0.741397,15.011628,0.344792,32.822381
PLTR,Palantir Technologies Inc.,2025,2.225012,0.431105,1.793907,0.119966,0.209825,0.0,0.1,0.09,6.340884,5.934289,1.246477,0.996018,5.003275,0.831047,3.131463,0.575048,0.0,0.0,0.041938,0.033091,0.806246,0.094303,0.053917,5.958014,5.958014,0.249132,0.196578,NA,0.350899,0.444711
PYPL,"PayPal Holdings, Inc.",2025,29.771,24.743,5.028,5.028,4.246,347.0,3.85,3.84,78.725,58.206,58.308,45.49,20.274,9.081,4.262,0.984,9.879,0.0,0.209431,0.053935,0.168889,0.142622,0.168889,1.279534,1.279534,2.875999,0.740654,14.489914,0.378164,1.468432
QCOM,QUALCOMM INC/DE,2025,35.82,15.869,19.951,7.788,7.232,694.0,6.47,6.42,55.154,25.231,28.88,10.504,18.013,7.849,5.451,2.347,13.27,6.423,0.401488,0.131124,0.556979,0.201898,0.21742,2.402037,1.790556,1.603287,0.523625,11.221902,0.649454,1.988564
SHOP,Shopify Inc.,2025,7.06,3.545,3.515,-1.418,0.132,241.0,0.1,0.1,13.924,7.254,0.41,1.956,8.239,1.498,3.981,0.048,0.918,0.026,0.016021,0.00948,0.497875,0.018697,-0.20085,3.708589,3.695297,0.049763,0.029446,-5.883817,0.507038,0.8569
SNOW,SNOWFLAKE INC.,2025,2.065659,0.71754,1.348119,-0.842267,-0.796705,0.0,-2.5,-2.5,8.223383,5.039264,3.032789,2.73123,5.180308,0.939902,2.083499,0.926902,0.0,0.0,-0.153795,-0.096883,0.652634,-0.38569,-0.407747,1.845053,1.845053,0.585446,0.368801,NA,0.251193,0.398752
SQ,"BLOCK, INC.",2025,21.915623,14.410737,7.504886,-0.278839,0.009772,0.0,0.02,0.02,36.777595,19.880201,15.542633,8.546798,21.267932,4.996465,0.001939,0.148898,5.105939,0.10499,0.000459,0.000266,0.342445,0.000446,-0.012723,2.326041,2.313757,0.730801,0.422611,NA,0.595896,1.030454
TSLA,"Tesla, Inc.",2025,96.773,79.113,17.66,8.891,14.997,156.0,4.73,4.3,122.07,58.36,48.39,28.821,72.913,16.398,20.424,4.418,5.535,12.017,0.205683,0.122856,0.182489,0.154971,0.091875,2.024912,1.607959,0.663668,0.396412,56.99359,0.792766,1.327239
TWLO,Twilio Inc.,2025,4.153945,2.110015,2.04393,-0.876541,-1.015441,38.389,-5.54,-5.54,9.865472,3.447299,1.912506,0.82022,10.559042,0.655931,1.963102,0.58854,0.990587,0.0,-0.096168,-0.102929,0.492046,-0.244452,-0.211014,4.202896,4.202896,0.181125,0.193859,-22.833129,0.421059,0.393402
UBER,"UBER TECHNOLOGIES, INC.",2025,37.281,22.457,14.824,1.11,1.887,633.0,0.93,0.87,51.244,12.245,28.768,11.476,21.558,4.68,1.084,3.333,8.347,0.0,0.087531,0.036824,0.397629,0.050616,0.029774,1.067009,1.067009,1.334447,0.561393,1.753555,0.727519,1.729335
WDAY,"WORKDAY, INC.",2025,6.216,6.438,-0.222,-0.222,-0.367,102.0,-1.44,-1.44,16.452,9.939,8.37,5.055,5.585,1.886,5.801,1.639,2.98,0.0,-0.065712,-0.022307,-0.035714,-0.059041,-0.035714,1.966172,1.966172,1.498657,0.508753,-2.176471,0.377826,1.112981
ZM,"Zoom Communications, Inc.",2025,4.39296,1.100451,3.292509,0.245429,0.103711,41.418,0.35,0.34,9.929793,7.926219,1.910387,1.762187,5.780018,1.08683,5.404233,0.536078,0.0,0.0,0.017943,0.010444,0.749497,0.023608,0.055869,4.497944,4.497944,0.330516,0.192389,5.92566,0.442402,0.760025
